train_step_acc,train_step_loss,step,epoch,val_step_acc,val_step_loss
0.3797391355037689,1.269334316253662,19,0,,
0.47634783387184143,1.0593292713165283,39,1,,
,,49,2,0.5078125,1.287126898765564
0.5158261060714722,1.0460116863250732,59,2,,
0.5359130501747131,1.0254930257797241,79,3,,
,,99,4,0.5661764740943909,1.1795759201049805
0.5348695516586304,1.0018961429595947,99,4,,
0.551652193069458,0.9817422032356262,119,5,,
0.550521731376648,0.984423041343689,139,6,,
,,149,7,0.525390625,1.1691943407058716
0.554347813129425,1.0341100692749023,159,7,,
0.5591304302215576,0.9995416402816772,179,8,,
,,199,9,0.5514705777168274,1.1890978813171387
0.5598260760307312,0.9451091289520264,199,9,,
